Address	Size	Name	Type	Units	Description
40000 	2	C_SunSpec_ID	uint32	N/A	"Value = ""SunS"" (0x53756e53).  Uniquely identifies this as a SunSpec MODBUS Map"
40002 	1	C_SunSpec_DID_Common	uint16	N/A	Value = 0x0001.  Uniquely identifies this as a SunSpec Common Model Block
40003 	1	C_SunSpec_Length	uint16	N/A	65 = Length of block in 16-bit registers
40004 	16	C_Manufacturer	String(32)	N/A	"Value Registered with SunSpec = ""SolarEdge """
40020 	16	C_Model	String(32)	N/A	SolarEdge Specific Value
40044 	8	C_Version	String(16)	N/A	SolarEdge Specific Value
40052 	16	C_SerialNumber	String(32)	N/A	SolarEdge Unique Value
40068 	1	C_DeviceAddress	uint16	N/A	MODBUS Unit ID
40069 	1	C_SunSpec_DID	uint16	N/A	101 = single phase; 102 = split phase1; 103 = three phase
40070 	1	C_SunSpec_Length_Model	uint16	Registers	50 = Length of model block
40071 	1	I_AC_Current	uint16	Amps	AC Total Current value
40072 	1	I_AC_CurrentA	uint16	Amps	AC Phase A Current value
40073 	1	I_AC_CurrentB	uint16	Amps	AC Phase B Current value
40074 	1	I_AC_CurrentC	uint16	Amps	AC Phase C Current value
40075 	1	I_AC_Current_SF	int16 	SF	AC Current scale factor
40076 	1	I_AC_VoltageAB	uint16	Volts	AC Voltage Phase AB value
40077 	1	I_AC_VoltageBC	uint16	Volts	AC Voltage Phase BC value
40078 	1	I_AC_VoltageCA	uint16	Volts	AC Voltage Phase CA value
40079 	1	I_AC_VoltageAN	uint16	Volts	AC Voltage Phase A to N value
40080 	1	I_AC_VoltageBN	uint16	Volts	AC Voltage Phase B to N value
40081 	1	I_AC_VoltageCN	uint16	Volts	AC Voltage Phase C to N value
40082 	1	I_AC_Voltage_SF	int16 	SF	AC Voltage  scale factor
40083 	1	I_AC_Power	int16 	Watts	AC Power value
40084 	1	I_AC_Power_SF	int16 	SF	AC Power scale factor
40085 	1	I_AC_Frequency	uint16	Hertz	AC Frequency value
40086 	1	I_AC_Frequency_SF	int16 	SF	Scale factor
40087 	1	I_AC_VA	int16	VA    	Apparent Power
40088 	1	I_AC_VA_SF	int16 	SF	Scale factor
